q_200K	E_200K	int_200K	err_200K
0.3512876914158594	3.25	1.028093909290461	0.09051866896657605
0.3512876914158594	3.5	0.6015613118463505	0.06946235586334498
0.3512876914158594	3.75	0.8598093564605597	0.1519942692004644
0.3512876914158594	4	0.8651971919024598	0.1529467073387129
0.3773212818032437	-3	3.429554047909823	0.1326028225502657
0.3773212818032437	-2.25	3.61691474803707	0.1186755960006537
0.3773212818032437	-2	4.545017529913999	0.1333986062450143
0.3773212818032437	-1.75	5.823746971119388	0.1512378465838312
0.3773212818032437	-1.5	9.767995269430045	0.1964371357658072
0.3773212818032437	-1.25	16.81116498541046	0.2583460101070193
0.3773212818032437	1.75	1.468987318840703	0.07886502067166014
0.3773212818032437	2	1.115279622437563	0.06890709633789337
0.3773212818032437	2.25	0.8396511991094177	0.05997945058865284
0.3773212818032437	2.5	0.8092424606461059	0.05902404925297716
0.3773212818032437	3.25	0.7694541539925217	0.06723171233112166
0.3773212818032437	3.5	0.7203128630982681	0.06521789705420501
0.3773212818032437	3.75	0.8473551133239281	0.08269342361401232
0.3773212818032437	4	0.6578168363490369	0.07309079135824942
0.3773212818032437	4.25	0.5986302240571049	0.1276284036522659
0.3773212818032437	4.5	0.5751930687277238	0.1255174287106246
0.4082167229195772	-3	2.244339971601702	0.09279853363724917
0.4082167229195772	-2.75	2.591887507738602	0.09999137746383654
0.4082167229195772	-2.5	3.276527507221589	0.1126570948535595
0.4082167229195772	-1.5	8.092385161308343	0.1542693798886403
0.4082167229195772	-1.25	13.0723053648229	0.1965715747251702
0.4082167229195772	-1	17.76708829825169	0.2297506278774168
0.4082167229195772	-0.75	21.18815299301257	0.2515081951948584
0.4082167229195772	-0.5	23.7576873315945	0.2670587272339017
0.4082167229195772	-0.25	24.78728327228026	0.2734468137044846
0.4082167229195772	0	25.73596856205409	0.2793437320439939
0.4082167229195772	0.25	25.77640224206491	0.2803114916715518
0.4082167229195772	0.5	23.16427674786302	0.2664485897947976
0.4082167229195772	0.75	21.16103193526178	0.2553950386748533
0.4082167229195772	1	17.31762475323913	0.2316794471724066
0.4082167229195772	1.25	11.06061304399105	0.1856487586404525
0.4082167229195772	1.5	4.634702951097578	0.1204804336191481
0.4082167229195772	1.75	1.109273833562464	0.05912817441749225
0.4082167229195772	2	0.9227045068897709	0.05409336451836998
0.4082167229195772	2.25	0.8697099147759866	0.05264032845569005
0.4082167229195772	2.75	0.7491857408296839	0.05696345877396442
0.4082167229195772	3	0.6584776099201197	0.05358993568968522
0.4082167229195772	3.25	0.6503920997609843	0.0534659255848716
